Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,44.90999984741211,46.97999954223633,44.709999084472656,46.90999984741211,30.60257339477539,7117200
2009-01-05,46.900001525878906,47.119998931884766,45.810001373291016,46.08000183105469,30.061098098754883,11098700
2009-01-06,46.790000915527344,46.79999923706055,45.40999984741211,45.79999923706055,29.878433227539062,10863400
2009-01-07,45.220001220703125,45.599998474121094,43.20000076293945,43.66999816894531,28.488901138305664,9026500
2009-01-08,42.93000030517578,44.11000061035156,42.52000045776367,44.02000045776367,28.717233657836914,9384200
2009-01-09,43.90999984741211,44.060001373291016,42.25,43.20000076293945,28.18229103088379,8872300
2009-01-12,43.0,43.099998474121094,40.630001068115234,41.189998626708984,26.87102508544922,9583700
2009-01-13,41.11000061035156,41.88999938964844,40.54999923706055,41.400001525878906,27.008026123046875,9281600
2009-01-14,40.0,40.34000015258789,38.25,39.349998474121094,25.670679092407227,17261700
2009-01-15,39.15999984741211,39.97999954223633,37.290000915527344,39.38999938964844,25.973995208740234,15448300
2009-01-16,40.59000015258789,40.59000015258789,38.060001373291016,39.54999923706055,26.079511642456055,12890100
2009-01-20,39.150001525878906,39.630001068115234,38.0,38.31999969482422,25.268430709838867,11889900
2009-01-21,39.27000045776367,39.709999084472656,37.720001220703125,39.54999923706055,26.079511642456055,10287000
2009-01-22,38.88999938964844,39.0,36.33000183105469,37.22999954223633,24.54967498779297,19268200
2009-01-23,35.9900016784668,37.22999954223633,35.0099983215332,35.65999984741211,23.51441192626953,22677400
2009-01-26,33.599998474121094,34.2400016784668,31.700000762939453,32.66999816894531,21.542787551879883,47390400
2009-01-27,33.2400016784668,33.41999816894531,32.099998474121094,32.31999969482422,21.3120059967041,20354500
2009-01-28,33.2599983215332,33.5099983215332,32.619998931884766,33.0,21.760393142700195,13466700
2009-01-29,32.61000061035156,32.65999984741211,31.6299991607666,31.850000381469727,21.002077102661133,14575000
2009-01-30,31.579999923706055,31.729999542236328,30.059999465942383,30.850000381469727,20.342668533325195,20956900
2009-02-02,30.100000381469727,30.799999237060547,29.600000381469727,30.290000915527344,19.973405838012695,16966700
2009-02-03,29.809999465942383,31.030000686645508,29.809999465942383,29.989999771118164,19.77558708190918,18880200
2009-02-04,30.440000534057617,31.56999969482422,30.200000762939453,30.600000381469727,20.177818298339844,17419200
2009-02-05,30.350000381469727,32.09000015258789,30.200000762939453,31.610000610351562,20.843822479248047,17793300
2009-02-06,32.380001068115234,33.849998474121094,32.209999084472656,33.279998779296875,21.94502830505371,17010100
2009-02-09,33.470001220703125,33.599998474121094,32.400001525878906,32.720001220703125,21.575763702392578,9063700
2009-02-10,32.86000061035156,33.310001373291016,30.610000610351562,30.920000076293945,20.388832092285156,17205600
2009-02-11,31.350000381469727,31.93000030517578,30.649999618530273,31.1299991607666,20.52730941772461,10544900
2009-02-12,30.75,31.09000015258789,30.030000686645508,31.020000457763672,20.45478057861328,13662000
2009-02-13,31.40999984741211,31.84000015258789,30.850000381469727,30.940000534057617,20.402021408081055,10182000
2009-02-17,30.299999237060547,30.5,28.520000457763672,28.979999542236328,19.109582901000977,22207000
2009-02-18,29.15999984741211,29.219999313354492,27.770000457763672,28.440000534057617,18.753507614135742,17863600
